player_id,player_name,player_first_name,player_last_name,player_team,player_team_id,previous_games,previous_average,previous_total,locked,active,played_status,injury_suspension_status,injury_suspension_status_text
98,Jackson Bird,Jackson,Bird,Sydney Sixers,7,6,53.17,319,TRUE,TRUE,Played,PlayingNextRound,Selected in starting line up
99,Tom Curran,Tom,Curran,Sydney Sixers,7,0,0,0,TRUE,TRUE,Played,PlayingNextRound,Selected in starting line up
100,Joel Davies,Joel,Davies,Sydney Sixers,7,2,40.5,81,TRUE,TRUE,Played,NotPlayingNextRound,Not selected to play in the upcoming round
101,Ben Dwarshuis,Ben,Dwarshuis,Sydney Sixers,7,10,59.3,593,TRUE,TRUE,Played,PlayingNextRound,Selected in starting line up
102,Jack Edwards,Jack,Edwards,Sydney Sixers,7,0,0,0,TRUE,TRUE,Played,PlayingNextRound,Selected in starting line up
103,Moises Henriques,Moises,Henriques,Sydney Sixers,7,14,31,434,TRUE,TRUE,Played,PlayingNextRound,Selected in starting line up
104,Daniel Hughes,Daniel,Hughes,Sydney Sixers,7,3,16.67,50,TRUE,TRUE,Played,NotPlayingNextRound,Not selected to play in the upcoming round
105,Hayden Kerr,Hayden,Kerr,Sydney Sixers,7,14,45.64,639,TRUE,TRUE,Played,NotPlayingNextRound,Not selected to play in the upcoming round
106,Todd Murphy,Todd,Murphy,Sydney Sixers,7,6,53.83,323,TRUE,TRUE,Played,NotPlayingNextRound,Not selected to play in the upcoming round
107,Steve O'Keefe,Steve,O'Keefe,Sydney Sixers,7,7,57.57,403,TRUE,TRUE,Played,PlayingNextRound,Selected in starting line up
108,Kurtis Patterson,Kurtis,Patterson,Sydney Sixers,7,11,30.18,332,TRUE,TRUE,Played,NotPlayingNextRound,Not selected to play in the upcoming round
109,Josh Philippe,Josh,Philippe,Sydney Sixers,7,14,33.14,464,TRUE,TRUE,Played,PlayingNextRound,Selected in starting line up
110,Jordan Silk,Jordan,Silk,Sydney Sixers,7,14,42.93,601,TRUE,TRUE,Played,PlayingNextRound,Selected in starting line up
111,James Vince,James,Vince,Sydney Sixers,7,10,37.3,373,TRUE,TRUE,Played,PlayingNextRound,Selected in starting line up
112,Cameron Bancroft,Cameron,Bancroft,Sydney Thunder,8,9,51,459,FALSE,TRUE,Yet to play,NA,NA
113,Ollie Davies,Ollie,Davies,Sydney Thunder,8,14,37.79,529,FALSE,TRUE,Yet to play,NA,NA
114,Matt Gilkes,Matt,Gilkes,Sydney Thunder,8,14,32.79,459,FALSE,TRUE,Yet to play,NA,NA
115,Chris Green,Chris,Green,Sydney Thunder,8,14,50.86,712,FALSE,TRUE,Yet to play,NA,NA
116,Alex Hales,Alex,Hales,Sydney Thunder,8,9,40.56,365,FALSE,TRUE,Yet to play,NA,NA
117,Liam Hatcher,Liam,Hatcher,Sydney Thunder,8,8,46.5,372,FALSE,TRUE,Yet to play,NA,NA
118,Zaman Khan,Zaman,Khan,Sydney Thunder,8,0,0,0,FALSE,TRUE,Yet to play,NA,NA
119,Nathan McAndrew,Nathan,McAndrew,Sydney Thunder,8,10,51.6,516,FALSE,TRUE,Yet to play,NA,NA
120,Blake Nikitaras,Blake,Nikitaras,Sydney Thunder,8,2,9,18,FALSE,TRUE,Yet to play,NA,NA
121,Alex Ross,Alex,Ross,Sydney Thunder,8,14,27.57,386,FALSE,TRUE,Yet to play,NA,NA
122,Daniel Sams,Daniel,Sams,Sydney Thunder,8,13,52.46,682,FALSE,TRUE,Yet to play,NA,NA
123,Gurinder Sandhu,Gurinder,Sandhu,Sydney Thunder,8,8,45.5,364,FALSE,TRUE,Yet to play,NA,NA
124,Jason Sangha,Jason,Sangha,Sydney Thunder,8,4,24,96,FALSE,TRUE,Yet to play,NA,NA
125,Tanveer Sangha,Tanveer,Sangha,Sydney Thunder,8,0,0,0,FALSE,TRUE,Yet to play,NA,NA
126,David Warner,David,Warner,Sydney Thunder,8,5,14.6,73,FALSE,TRUE,Yet to play,NA,NA
127,Joe Clarke,Joe,Clarke,Melbourne Renegades,4,14,45.07,631,TRUE,TRUE,Played,PlayingNextRound,Selected in starting line up
128,Harry Dixon,Harry,Dixon,Melbourne Renegades,4,0,0,0,TRUE,TRUE,Played,NotPlayingNextRound,Not selected to play in the upcoming round
129,Harry Nielsen,Harry,Nielsen,Adelaide Strikers,1,12,20.33,244,TRUE,TRUE,Played,NA,NA
130,Iain Carlisle,Iain,Carlisle,Hobart Hurricanes,3,0,0,0,FALSE,TRUE,Yet to play,NA,NA
131,Jack Wood,Jack,Wood,Brisbane Heat,2,0,0,0,TRUE,TRUE,Played,NotPlayingNextRound,Not selected to play in the upcoming round
132,Nikhil Chaudhary,Nikhil,Chaudhary,Hobart Hurricanes,3,0,0,0,FALSE,TRUE,Yet to play,NA,NA
133,Sam Heazlett,Sam,Heazlett,Hobart Hurricanes,3,0,0,0,FALSE,TRUE,Yet to play,NA,NA
134,Liam Guthrie,Liam,Guthrie,Hobart Hurricanes,3,0,0,0,FALSE,TRUE,Yet to play,NA,NA
135,Steve Smith,Steve,Smith,Sydney Sixers,7,4,123.25,493,TRUE,TRUE,Played,PlayingNextRound,Selected in starting line up
136,David Payne,David,Payne,Adelaide Strikers,1,4,64.25,257,TRUE,TRUE,Played,NA,NA
137,Liam Dawson,Liam,Dawson,Melbourne Stars,5,0,0,0,TRUE,TRUE,Played,PlayingNextRound,Selected in starting line up
138,Ruwantha Kellapotha,Ruwantha,Kellapotha,Melbourne Renegades,4,2,42.5,85,TRUE,TRUE,Played,NotPlayingNextRound,Not selected to play in the upcoming round
139,Izharulhaq Naveed,Izharulhaq,Naveed,Sydney Sixers,7,7,34.86,244,TRUE,TRUE,Played,NotPlayingNextRound,Not selected to play in the upcoming round
140,Imad Wasim,Imad,Wasim,Melbourne Stars,5,0,0,0,TRUE,TRUE,Played,NotPlayingNextRound,Not selected to play in the upcoming round
141,Corey Rocchiccioli,Corey,Rocchiccioli,Melbourne Stars,5,3,46.33,139,TRUE,TRUE,Played,NotPlayingNextRound,Not selected to play in the upcoming round
142,Stephen Eskinazi,Stephen,Eskinazi,Perth Scorchers,6,7,45.57,319,FALSE,TRUE,Yet to play,NA,NA
143,Mitch Perry,Mitch,Perry,Sydney Sixers,7,0,0,0,TRUE,TRUE,Played,NotPlayingNextRound,Not selected to play in the upcoming round
144,Fergus O'Neill,Fergus,O'Neill,Melbourne Renegades,4,0,0,0,TRUE,TRUE,Played,NotPlayingNextRound,Not selected to play in the upcoming round
145,Will Salzmann,Will,Salzmann,Sydney Thunder,8,0,0,0,FALSE,TRUE,Yet to play,NA,NA
146,Liam Doddrell,Liam,Doddrell,Sydney Thunder,8,0,0,0,FALSE,TRUE,Yet to play,NA,NA
147,Jonathan Merlo,Jonathan,Merlo,Melbourne Stars,5,0,0,0,TRUE,TRUE,Played,NotPlayingNextRound,Not selected to play in the upcoming round
148,Liam Haskett,Liam,Haskett,Perth Scorchers,6,0,0,0,FALSE,TRUE,Yet to play,NA,NA
149,Olly Stone,Olly,Stone,Melbourne Stars,5,0,0,0,TRUE,TRUE,Played,PlayingNextRound,Selected in starting line up
150,Lachlan Hearne,Lachlan,Hearne,Brisbane Heat,2,0,0,0,TRUE,TRUE,Played,NotPlayingNextRound,Not selected to play in the upcoming round
