match,home_team,away_team,market,player_name,player_team,line,over_price,agency,opposition_team
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,James Vince,Sydney Sixers,1.5,2.9,BlueBet,Hobart Hurricanes
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,James Vince,Sydney Sixers,2.5,5,BlueBet,Hobart Hurricanes
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Jordan Silk,Sydney Sixers,0.5,2.15,BlueBet,Hobart Hurricanes
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Jordan Silk,Sydney Sixers,1.5,4.5,BlueBet,Hobart Hurricanes
Hobart Hurricanes v Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Number of 6s,Jordan Silk,Sydney Sixers,2.5,8.5,BlueBet,Hobart Hurricanes
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Cameron Bancroft,Sydney Thunder,0.5,2.2,BlueBet,Brisbane Heat
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Cameron Bancroft,Sydney Thunder,1.5,4.1,BlueBet,Brisbane Heat
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Cameron Bancroft,Sydney Thunder,2.5,6.5,BlueBet,Brisbane Heat
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Oliver Davies,NA,0.5,1.87,BlueBet,NA
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Oliver Davies,NA,1.5,3.5,BlueBet,NA
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Oliver Davies,NA,2.5,6,BlueBet,NA
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Alex Hales,Sydney Thunder,0.5,1.77,BlueBet,Brisbane Heat
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Alex Hales,Sydney Thunder,1.5,2.9,BlueBet,Brisbane Heat
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Alex Hales,Sydney Thunder,2.5,4.4,BlueBet,Brisbane Heat
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Jason Sangha,Sydney Thunder,0.5,2.15,BlueBet,Brisbane Heat
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Jason Sangha,Sydney Thunder,1.5,4.3,BlueBet,Brisbane Heat
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Jason Sangha,Sydney Thunder,2.5,7.25,BlueBet,Brisbane Heat
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Sam Billings,Brisbane Heat,0.5,1.91,BlueBet,Sydney Thunder
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Sam Billings,Brisbane Heat,1.5,3.7,BlueBet,Sydney Thunder
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Sam Billings,Brisbane Heat,2.5,7,BlueBet,Sydney Thunder
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Josh Brown,Brisbane Heat,0.5,1.87,BlueBet,Sydney Thunder
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Josh Brown,Brisbane Heat,1.5,3.1,BlueBet,Sydney Thunder
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Josh Brown,Brisbane Heat,2.5,5,BlueBet,Sydney Thunder
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Colin Munro,Brisbane Heat,0.5,1.65,BlueBet,Sydney Thunder
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Colin Munro,Brisbane Heat,1.5,2.45,BlueBet,Sydney Thunder
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Colin Munro,Brisbane Heat,2.5,3.4,BlueBet,Sydney Thunder
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Matt Renshaw,NA,0.5,2,BlueBet,NA
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Matt Renshaw,NA,1.5,3.6,BlueBet,NA
Sydney Thunder v Brisbane Heat,Sydney Thunder,Brisbane Heat,Number of 6s,Matt Renshaw,NA,2.5,6.5,BlueBet,NA
